Country,State,Company_Owned,Franchise,Joint_Venture,Licensed
Andorra,7,0,0,0,1
UAE,AJ,0,0,0,2
UAE,AZ,0,0,0,48
UAE,DU,0,0,0,82
UAE,FU,0,0,0,2
UAE,RK,0,0,0,3
UAE,SH,0,0,0,6
UAE,UQ,0,0,0,1
Argentina,B,0,0,0,21
Argentina,C,0,0,1,72
Argentina,M,0,0,0,5
Argentina,S,0,0,0,3
Argentina,X,0,0,0,6
Austria,3,1,0,0,0
Austria,5,3,0,0,0
Austria,9,13,0,0,1
Australia,NSW,0,0,0,9
Australia,QLD,0,0,0,8
Australia,VIC,0,0,0,5
Aruba,AW,0,0,0,3
Azerbaijan,BA,0,0,0,3
Azerbaijan,SAB,0,0,0,1
Belgium,BE,0,0,0,4
Belgium,VAN,0,0,0,1
Belgium,VBR,0,0,0,2
Belgium,VLG,0,0,0,10
Belgium,WAL,0,0,0,2
Bulgaria,2,0,0,0,1
Bulgaria,23,0,0,0,4
Bahrain,13,0,0,0,16
Bahrain,14,0,0,0,2
Bahrain,15,0,0,0,3
Brunei Darussalam,BE,0,0,0,1
Brunei Darussalam,BM,0,0,0,3
Brunei Darussalam,TU,0,0,0,1
Bolivia,S,0,0,0,4
Brazil,RJ,23,0,0,0
Brazil,SP,79,0,0,0
Bahamas,BI,0,0,0,1
Bahamas,NS,0,0,0,9
Canada,AB,183,0,0,105
Canada,BC,319,0,0,93
Canada,MB,29,0,0,25
Canada,NB,12,0,0,2
Canada,NL,6,0,0,1
Canada,NS,14,0,0,6
Canada,ON,425,0,0,109
Canada,PE,2,0,0,0
Canada,QC,93,0,0,12
Canada,SK,12,0,0,18
Canada,YT,2,0,0,0
Switzerland,AG,3,0,0,0
Switzerland,BE,5,0,0,0
Switzerland,BS,5,0,0,0
Switzerland,FR,1,0,0,1
Switzerland,GE,7,0,0,1
Switzerland,LU,2,0,0,0
Switzerland,SG,5,0,0,0
Switzerland,VD,4,0,0,0
Switzerland,ZG,2,0,0,0
Switzerland,ZH,23,0,0,2
Chile,BI,0,0,0,4
Chile,LI,0,0,0,1
Chile,RM,0,0,0,87
Chile,VS,0,0,0,4
China,11,236,0,0,0
China,12,58,0,0,0
China,13,24,0,0,0
China,14,8,0,0,0
China,15,8,0,0,0
China,21,57,0,0,0
China,22,13,0,0,0
China,23,16,0,0,0
China,31,0,0,551,0
China,32,0,0,354,0
China,33,0,0,315,0
China,34,26,0,0,0
China,35,75,0,0,0
China,36,13,0,0,0
China,37,75,0,0,0
China,41,21,0,0,0
China,42,76,0,0,0
China,43,35,0,0,0
China,44,333,0,0,0
China,45,21,0,0,0
China,46,16,0,0,0
China,50,41,0,0,0
China,51,104,0,0,0
China,52,9,0,0,0
China,53,24,0,0,0
China,61,42,0,0,0
China,62,3,0,0,0
China,63,3,0,0,0
China,64,2,0,0,0
China,91,0,0,0,162
China,92,0,0,0,13
Colombia,DC,0,0,0,11
Costa Rica,A,0,0,0,2
Costa Rica,SJ,0,0,0,9
Curaçao,CW,0,0,0,3
Cyprus,1,0,0,0,4
Cyprus,2,0,0,0,4
Cyprus,3,0,0,0,1
Cyprus,5,0,0,0,1
Czech Repulic,JM,0,0,4,0
Czech Repulic,MO,0,0,2,0
Czech Repulic,PR,0,0,22,0
Germany,BB,2,0,0,0
Germany,BE,18,0,0,2
Germany,BW,20,0,0,1
Germany,BY,16,0,0,2
Germany,HB,4,0,0,0
Germany,HE,20,0,0,6
Germany,HH,11,0,0,2
Germany,NI,6,0,0,0
Germany,NW,34,0,0,0
Germany,RP,2,0,0,4
Germany,SH,2,0,0,0
Germany,SL,2,0,0,0
Germany,SN,5,0,0,0
Germany,TH,0,0,0,1
Denmark,15,0,0,0,4
Denmark,81,0,0,0,3
Denmark,83,0,0,0,1
Denmark,84,0,0,0,9
Denmark,DK,0,0,0,4
Egypt,ALX,0,0,0,1
Egypt,C,0,0,0,27
Egypt,JS,0,0,0,3
Spain,AB,0,0,0,1
Spain,AN,0,0,0,16
Spain,BI,0,0,0,2
Spain,C,0,0,0,2
Spain,CL,0,0,0,2
Spain,CT,0,0,0,20
Spain,IB,0,0,0,2
Spain,M,0,0,0,1
Spain,MA,0,0,0,1
Spain,MD,0,0,0,50
Spain,MU,0,0,0,1
Spain,SS,0,0,0,1
Spain,Z,0,0,0,1
Spain,ZAB,0,0,0,1
Finland,18,0,0,0,3
Finland,2,0,0,0,2
Finland,ES,0,0,0,3
France,A,0,2,0,0
France,B,0,4,0,1
France,C,0,0,0,1
France,D,0,1,0,0
France,F,0,0,0,1
France,J,61,0,0,25
France,K,0,0,0,1
France,N,0,1,0,1
France,O,1,3,0,1
France,R,0,4,0,0
France,S,0,0,0,1
France,U,7,0,0,7
France,V,5,0,0,4
Great Britan,ENG,296,280,0,211
Great Britan,NIR,0,0,0,19
Great Britan,SCT,41,7,0,17
Great Britan,WLS,10,15,0,5
Greece,A1,0,0,0,20
Greece,B,0,0,0,2
Greece,L,0,0,0,2
Greece,M,0,0,0,4
Guatemala,GU,0,0,0,7
Hungary,BU,0,0,16,0
Indonesia,BA,0,0,0,12
Indonesia,BT,0,0,0,11
Indonesia,JB,0,0,0,14
Indonesia,JI,0,0,0,10
Indonesia,JK,0,0,0,77
Indonesia,JT,0,0,0,2
Indonesia,JW,0,0,0,103
Indonesia,KA,0,0,0,5
Indonesia,KI,0,0,0,1
Indonesia,NU,0,0,0,8
Indonesia,RI,0,0,0,2
Indonesia,SL,0,0,0,3
Indonesia,SM,0,0,0,10
Indonesia,SN,0,0,0,3
Indonesia,SS,0,0,0,2
Indonesia,SU,0,0,0,4
Indonesia,YO,0,0,0,1
Ireland,C,0,0,0,15
Ireland,L,0,0,0,53
Ireland,M,0,0,0,5
India,AP,0,0,6,0
India,DL,0,0,18,0
India,HR,0,0,6,0
India,KA,0,0,9,0
India,MH,0,0,43,0
India,TN,0,0,5,0
India,UP,0,0,1,0
Jordan,AM,0,0,0,16
Jordan,IR,0,0,0,1
Japan,1,4,0,28,2
Japan,10,1,0,12,0
Japan,11,3,0,53,2
Japan,12,4,0,56,0
Japan,13,19,0,268,18
Japan,14,5,0,90,7
Japan,15,0,0,10,0
Japan,16,0,0,9,0
Japan,17,1,0,9,0
Japan,18,0,0,4,1
Japan,19,0,0,10,0
Japan,2,2,0,6,0
Japan,20,2,0,13,2
Japan,21,3,0,7,1
Japan,22,5,0,21,5
Japan,23,6,0,69,5
Japan,24,2,0,12,0
Japan,25,1,0,12,0
Japan,26,2,0,24,2
Japan,27,14,0,78,6
Japan,28,5,0,39,0
Japan,29,1,0,9,0
Japan,3,2,0,4,0
Japan,30,1,0,4,0
Japan,31,3,0,0,0
Japan,32,0,0,3,0
Japan,33,0,0,10,0
Japan,34,1,0,16,1
Japan,35,0,0,4,0
Japan,36,0,0,3,0
Japan,37,0,0,7,2
Japan,38,2,0,5,1
Japan,39,0,0,4,0
Japan,4,1,0,14,3
Japan,40,4,0,41,3
Japan,41,2,0,4,2
Japan,42,0,0,9,0
Japan,43,1,0,6,0
Japan,44,0,0,8,0
Japan,45,0,0,4,0
Japan,46,0,0,4,0
Japan,47,0,0,18,2
Japan,5,0,0,6,0
Japan,6,1,0,4,0
Japan,7,1,0,6,1
Japan,8,1,0,29,0
Japan,9,1,0,18,0
Combodia,12,0,0,0,4
South Korea,11,0,0,390,0
South Korea,26,0,0,84,0
South Korea,27,0,0,50,0
South Korea,28,0,0,38,0
South Korea,29,0,0,37,0
South Korea,30,0,0,37,0
South Korea,31,0,0,22,0
South Korea,41,0,0,181,0
South Korea,42,0,0,18,0
South Korea,43,0,0,13,0
South Korea,44,0,0,17,0
South Korea,45,0,0,13,0
South Korea,46,0,0,11,0
South Korea,47,0,0,35,0
South Korea,48,0,0,34,0
South Korea,49,0,0,13,0
Kuwait,AH,0,0,0,10
Kuwait,FA,0,0,0,8
Kuwait,HA,0,0,0,28
Kuwait,JA,0,0,0,2
Kuwait,KU,0,0,0,53
Kuwait,MU,0,0,0,5
Kazaksthan,ALA,0,0,0,6
Kazaksthan,AST,0,0,0,2
Lebnan,BA,0,0,0,22
Lebnan,BI,0,0,0,6
Lebnan,JA,0,0,0,1
Luxembourg,L,0,0,0,2
Morocco,11,0,0,0,2
Morocco,MA,0,0,0,7
Monaco,MC,0,0,0,2
Mexico,AGU,0,0,0,5
Mexico,BCN,0,0,0,18
Mexico,BCS,0,0,0,8
Mexico,CAM,0,0,0,2
Mexico,CHH,0,0,0,10
Mexico,CHP,0,0,0,2
Mexico,COA,0,0,0,8
Mexico,COL,0,0,0,2
Mexico,DIF,0,0,0,229
Mexico,DUR,0,0,0,2
Mexico,GRO,0,0,0,7
Mexico,GUA,0,0,0,21
Mexico,HID,0,0,0,2
Mexico,JAL,0,0,0,50
Mexico,MIC,0,0,0,8
Mexico,MOR,0,0,0,5
Mexico,MX,0,0,0,50
Mexico,NAY,0,0,0,2
Mexico,NLE,0,0,0,45
Mexico,OAX,0,0,0,1
Mexico,PUE,0,0,0,14
Mexico,QUE,0,0,0,10
Mexico,ROO,0,0,0,27
Mexico,SIN,0,0,0,11
Mexico,SLP,0,0,0,4
Mexico,SON,0,0,0,7
Mexico,TAB,0,0,0,5
Mexico,TAM,0,0,0,5
Mexico,VER,0,0,0,10
Mexico,YUC,0,0,0,6
Mexico,ZAC,0,0,0,3
Malaysia,1,0,0,2,18
Malaysia,10,0,0,2,68
Malaysia,12,0,0,0,10
Malaysia,13,0,0,0,12
Malaysia,14,0,0,0,65
Malaysia,15,0,0,0,1
Malaysia,16,0,0,1,2
Malaysia,2,0,0,0,6
Malaysia,4,0,0,0,6
Malaysia,5,0,0,0,2
Malaysia,6,0,0,0,8
Malaysia,7,0,0,1,21
Malaysia,8,0,0,0,9
Netherlands,GE,0,0,0,2
Netherlands,GR,0,0,0,2
Netherlands,NB,0,0,0,5
Netherlands,NH,8,0,0,20
Netherlands,OV,0,0,0,3
Netherlands,UT,1,0,0,7
Netherlands,ZH,1,0,0,10
Norway,11,0,0,0,1
Norway,12,0,0,0,2
Norway,16,0,0,0,2
Norway,17,0,0,0,1
Norway,2,0,0,0,2
Norway,3,0,0,0,8
Norway,6,0,0,0,1
Newzeland,N,0,0,0,23
Newzeland,S,0,0,0,1
Oman,MA,0,0,0,6
Oman,MU,0,0,0,6
Panama,1,0,0,0,1
Panama,8,0,0,0,4
Peru,ARE,0,0,0,5
Peru,CAJ,0,0,0,1
Peru,CUS,0,0,0,2
Peru,ICA,0,0,0,1
Peru,JUN,0,0,0,1
Peru,LAL,0,0,0,2
Peru,LAM,0,0,0,1
Peru,LIM,0,0,0,74
Peru,PIU,0,0,0,2
Philippines,0,0,0,0,89
Philippines,1,0,0,0,2
Philippines,10,0,0,0,2
Philippines,3,0,0,0,26
Philippines,40,0,0,0,28
Philippines,41,0,0,0,118
Philippines,5,0,0,0,3
Philippines,6,0,0,0,4
Philippines,7,0,0,0,13
Philippines,PH,0,0,0,13
Poland,DS,0,0,8,0
Poland,LD,0,0,1,0
Poland,MA,0,0,4,0
Poland,MZ,0,0,19,0
Poland,PM,0,0,7,0
Poland,SL,0,0,3,0
Poland,WP,0,0,8,0
Poland,ZP,0,0,3,0
Proto Rueico,PR,1,0,0,23
Portugal,1,0,0,0,1
Portugal,11,0,0,0,9
Portugal,13,0,0,0,1
Qatar,DA,0,0,0,18
Romania,B,0,0,0,12
Romania,BC,0,0,0,4
Romania,CJ,0,0,0,2
Romania,CT,0,0,0,2
Romania,DJ,0,0,0,1
Romania,IS,0,0,0,2
Romania,PH,0,0,0,1
Romania,TM,0,0,0,3
Russia,KDA,0,0,3,0
Russia,MOS,0,0,5,0
Russia,MOW,0,0,75,0
Russia,ROS,0,0,3,0
Russia,SAM,0,0,1,0
Russia,SPE,0,0,13,2
Russia,SVE,0,0,4,0
Russia,TYU,0,0,2,0
Russia,YAR,0,0,1,0
South Africa,1,0,0,0,49
South Africa,2,0,0,0,31
South Africa,3,0,0,0,6
South Africa,4,0,0,0,12
South Africa,6,0,0,0,3
South Africa,7,0,0,0,1
Sweden,AB,0,0,0,15
Sweden,C,0,0,0,1
Sweden,O,0,0,0,1
Sweden,U,0,0,0,1
Singapore,1,74,0,0,0
Singapore,2,14,0,0,0
Singapore,3,6,0,0,0
Singapore,4,15,0,0,0
Singapore,5,21,0,0,0
Slovakia,BL,0,0,0,3
Salvador,LI,0,0,0,3
Salvador,SA,0,0,0,1
Salvador,SS,0,0,0,7
Thiland,10,186,0,0,0
Thiland,11,8,0,0,0
Thiland,12,11,0,0,0
Thiland,13,5,0,0,0
Thiland,14,3,0,0,0
Thiland,16,1,0,0,0
Thiland,20,9,0,0,0
Thiland,21,2,0,0,0
Thiland,24,5,0,0,0
Thiland,30,3,0,0,0
Thiland,31,1,0,0,0
Thiland,32,1,0,0,0
Thiland,34,2,0,0,0
Thiland,40,3,0,0,0
Thiland,41,3,0,0,0
Thiland,43,1,0,0,0
Thiland,44,1,0,0,0
Thiland,45,1,0,0,0
Thiland,50,10,0,0,0
Thiland,52,1,0,0,0
Thiland,57,1,0,0,0
Thiland,60,1,0,0,0
Thiland,65,1,0,0,0
Thiland,70,1,0,0,0
Thiland,73,2,0,0,0
Thiland,74,1,0,0,0
Thiland,77,3,0,0,0
Thiland,80,1,0,0,0
Thiland,81,1,0,0,0
Thiland,83,11,0,0,0
Thiland,84,3,0,0,0
Thiland,90,2,0,0,0
Thiland,S,4,0,0,0
Turkey,1,0,0,0,8
Turkey,10,0,0,0,4
Turkey,11,0,0,0,2
Turkey,16,0,0,0,13
Turkey,17,0,0,0,2
Turkey,20,0,0,0,1
Turkey,21,0,0,0,2
Turkey,26,0,0,0,5
Turkey,27,0,0,0,3
Turkey,3,0,0,0,2
Turkey,31,0,0,0,3
Turkey,32,0,0,0,1
Turkey,33,0,0,0,4
Turkey,34,0,0,0,160
Turkey,35,0,0,0,20
Turkey,38,0,0,0,3
Turkey,41,0,0,0,10
Turkey,42,0,0,0,2
Turkey,48,0,0,0,7
Turkey,54,0,0,0,2
Turkey,55,0,0,0,3
Turkey,6,0,0,0,47
Turkey,7,0,0,0,17
Turkey,9,0,0,0,5
Trinidad and Tobago,CHA,0,0,0,1
Trinidad and Tobago,POS,0,0,0,1
Trinidad and Tobago,SFO,0,0,0,1
Taiwan,CHA,0,0,6,0
Taiwan,CYI,0,0,6,0
Taiwan,CYQ,0,0,1,0
Taiwan,HSQ,0,0,4,0
Taiwan,HSZ,0,0,17,0
Taiwan,HUA,0,0,3,0
Taiwan,ILA,0,0,4,0
Taiwan,KEE,0,0,3,0
Taiwan,KHH,0,0,34,0
Taiwan,MIA,0,0,3,0
Taiwan,NAN,0,0,5,0
Taiwan,PEN,0,0,4,0
Taiwan,PIF,0,0,4,0
Taiwan,TAO,0,0,35,0
Taiwan,TNN,0,0,28,0
Taiwan,TNQ,0,0,2,0
Taiwan,TPE,0,0,126,0
Taiwan,TPQ,0,0,60,0
Taiwan,TTT,0,0,1,0
Taiwan,TXG,0,0,43,0
Taiwan,TXQ,0,0,1,0
Taiwan,YUN,0,0,4,0
USA,AK,9,0,0,40
USA,AL,49,0,0,36
USA,AR,36,0,0,19
USA,AZ,205,0,0,283
USA,CA,1982,0,0,839
USA,CO,231,0,0,250
USA,CT,88,0,0,35
USA,DC,68,0,0,23
USA,DE,11,0,0,14
USA,FL,482,0,0,212
USA,GA,177,0,0,149
USA,HI,63,0,0,36
USA,IA,31,0,0,58
USA,ID,34,0,0,33
USA,IL,393,0,0,182
USA,IN,123,0,0,98
USA,KS,41,0,0,53
USA,KY,54,0,0,62
USA,LA,55,0,0,29
USA,MA,190,0,0,83
USA,MD,142,0,0,115
USA,ME,20,0,0,10
USA,MI,132,0,0,151
USA,MN,88,0,0,96
USA,MO,91,0,0,97
USA,MS,16,0,0,16
USA,MT,16,0,0,20
USA,NC,152,0,0,186
USA,ND,9,0,0,4
USA,NE,21,0,0,37
USA,NH,22,0,0,7
USA,NJ,174,0,0,87
USA,NM,47,0,0,29
USA,NV,118,0,0,135
USA,NY,506,0,0,139
USA,OH,180,0,0,198
USA,OK,53,0,0,26
USA,OR,204,0,0,155
USA,PA,220,0,0,137
USA,RI,18,0,0,9
USA,SC,68,0,0,63
USA,SD,10,0,0,15
USA,TN,97,0,0,83
USA,TX,627,0,0,415
USA,UT,56,0,0,45
USA,VA,246,0,0,186
USA,VT,6,0,0,2
USA,WA,442,0,0,315
USA,WI,102,0,0,43
USA,WV,10,0,0,15
USA,WY,11,0,0,12
Vietnam,HN,0,0,0,6
Vietnam,SG,0,0,0,19
Zambia,GT,0,0,0,3
